Five Year Age Groups and Sex - Custom Region - United States
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2021,5-9,20194669,10321985,9872684,6.0,6.3,5.8,104.6
2021,10-14,20714911,10578739,10136172,6.2,6.4,6.0,104.4
2021,15-19,21050427,10740438,10309989,6.3,6.5,6.1,104.2
2021,20-24,21954440,11218217,10736223,6.6,6.8,6.3,104.5
2021,25-29,23225812,11891467,11334345,6.9,7.2,6.7,104.9
2021,30-34,23490578,11918444,11572134,7.0,7.2,6.8,103.0
2021,35-39,22108047,11109903,10998144,6.6,6.7,6.5,101.0
2021,40-44,20898390,10405774,10492616,6.2,6.3,6.2,99.2
2021,45-49,19663264,9733969,9929295,5.9,5.9,5.8,98.0
2021,50-54,20660758,10181165,10479593,6.2,6.2,6.2,97.2
2021,55-59,21347483,10403313,10944170,6.4,6.3,6.4,95.1
2021,60-64,21246174,10211692,11034482,6.3,6.2,6.5,92.5
2021,65-69,18477006,8710869,9766137,5.5,5.3,5.7,89.2
2021,70-74,15476044,7159776,8316268,4.6,4.3,4.9,86.1
2021,75-79,10354532,4645571,5708961,3.1,2.8,3.4,81.4
2021,80-84,6725990,2861632,3864358,2.0,1.7,2.3,74.1
2021,85-89,4006474,1562368,2444106,1.2,0.9,1.4,63.9
2021,90-94,2038553,698877,1339676,0.6,0.4,0.8,52.2
2021,95-99,665663,191264,474399,0.2,0.1,0.3,40.3
2021,100+,98160,23333,74827,0.0,0.0,0.0,31.2
2022,Total,337341954,166276189,171065765,100.0,100.0,100.0,97.2
2022,0-4,20687355,10570728,10116627,6.1,6.4,5.9,104.5
2022,5-9,20312430,10381764,9930666,6.0,6.2,5.8,104.5
2022,10-14,20578827,10510813,10068014,6.1,6.3,5.9,104.4
2022,15-19,21197080,10818910,10378170,6.3,6.5,6.1,104.2
2022,20-24,21932216,11202009,10730207,6.5,6.7,6.3,104.4
2022,25-29,22983532,11758346,11225186,6.8,7.1,6.6,104.7
2022,30-34,23946282,12170134,11776148,7.1,7.3,6.9,103.3
2022,35-39,22242164,11202529,11039635,6.6,6.7,6.5,101.5
2022,40-44,21306661,10618184,10688477,6.3,6.4,6.2,99.3
2022,45-49,19574849,9692629,9882220,5.8,5.8,5.8,98.1
2022,50-54,20664856,10183618,10481238,6.1,6.1,6.1,97.2
2022,55-59,20914051,10198296,10715755,6.2,6.1,6.3,95.2
2022,60-64,21291468,10240672,11050796,6.3,6.2,6.5,92.7
2022,65-69,18970532,8952217,10018315,5.6,5.4,5.9,89.4
2022,70-74,15504660,7165414,8339246,4.6,4.3,4.9,85.9
2022,75-79,11276800,5074515,6202285,3.3,3.1,3.6,81.8
2022,80-84,7035270,3000491,4034779,2.1,1.8,2.4,74.4
2022,85-89,4084276,1600715,2483561,1.2,1.0,1.5,64.5
2022,90-94,2050546,709377,1341169,0.6,0.4,0.8,52.9
2022,95-99,684325,199663,484662,0.2,0.1,0.3,41.2
2022,100+,103774,25165,78609,0.0,0.0,0.0,32.0
2023,Total,339665118,167444610,172220508,100.0,100.0,100.0,97.2
2023,0-4,20760869,10608199,10152670,6.1,6.3,5.9,104.5
2023,5-9,20448014,10450731,9997283,6.0,6.2,5.8,104.5
2023,10-14,20454711,10450256,10004455,6.0,6.2,5.8,104.5
2023,15-19,21308293,10878351,10429942,6.3,6.5,6.1,104.3
2023,20-24,21932288,11195402,10736886,6.5,6.7,6.2,104.3
2023,25-29,22837314,11669479,11167835,6.7,7.0,6.5,104.5
2023,30-34,24215811,12333314,11882497,7.1,7.4,6.9,103.8
2023,35-39,22461964,11334853,11127111,6.6,6.8,6.5,101.9
2023,40-44,21685220,10815602,10869618,6.4,6.5,6.3,99.5
2023,45-49,19707844,9768714,9939130,5.8,5.8,5.8,98.3
2023,50-54,20511304,10100409,10410895,6.0,6.0,6.0,97.0
2023,55-59,20479228,9997068,10482160,6.0,6.0,6.1,95.4
2023,60-64,21307839,10253083,11054756,6.3,6.1,6.4,92.7
2023,65-69,19378641,9158485,10220156,5.7,5.5,5.9,89.6
2023,70-74,15796904,7295380,8501524,4.7,4.4,4.9,85.8
2023,75-79,11805733,5319415,6486318,3.5,3.2,3.8,82.0
2023,80-84,7489487,3203811,4285676,2.2,1.9,2.5,74.8
2023,85-89,4213769,1659509,2554260,1.2,1.0,1.5,65.0
2023,90-94,2059891,718375,1341516,0.6,0.4,0.8,53.5
2023,95-99,701020,207201,493819,0.2,0.1,0.3,42.0
2023,100+,108974,26973,82001,0.0,0.0,0.0,32.9
2024,Total,341963408,168598780,173364628,100.0,100.0,100.0,97.3
2024,0-4,20820653,10638644,10182009,6.1,6.3,5.9,104.5
2024,5-9,20583051,10516257,10066794,6.0,6.2,5.8,104.5
2024,10-14,20469051,10463631,10005420,6.0,6.2,5.8,104.6
2024,15-19,21260934,10855788,10405146,6.2,6.4,6.0,104.3
2024,20-24,21959774,11204203,10755571,6.4,6.6,6.2,104.2
2024,25-29,22743877,11611052,11132825,6.7,6.9,6.4,104.3
2024,30-34,24316541,12404615,11911926,7.1,7.4,6.9,104.1
2024,35-39,22864646,11558212,11306434,6.7,6.9,6.5,102.2
2024,40-44,21931338,10949797,10981541,6.4,6.5,6.3,99.7
2024,45-49,19985002,9912461,10072541,5.8,5.9,5.8,98.4
2024,50-54,20226313,9956468,10269845,5.9,5.9,5.9,96.9
2024,55-59,20137304,9840805,10296499,5.9,5.8,5.9,95.6
